fiscal_year,month,company_name,refinery_name,quantity,unit,note
2024-25,March,NAYARA ENERGY LTD,"NEL-VADINAR,GUJARAT",0,quantity in thousand metric tonnes,
2024-25,March,Indian Oil Corporation Ltd,"IOCL-DIGBOI,ASSAM",0,quantity in thousand metric tonnes,
2024-25,March,Numaligarh Refinery Limited,"NRL-NUMALIGARH, ASSAM",0,quantity in thousand metric tonnes,
2024-25,March,Indian Oil Corporation Ltd,"IOCL-PARADIP,ODISHA",0,quantity in thousand metric tonnes,
2024-25,March,Chennai Petroleum Corporation Ltd,"CPCL-MANALI, TAMILNADU",0,quantity in thousand metric tonnes,
2024-25,March,Chennai Petroleum Corporation Ltd,"CPCL-NARIMANAM,TAMILNADU",0,quantity in thousand metric tonnes,
2024-25,March,Bharat Petroleum Corporation Ltd,"BPCL-MUMBAI, MAHARASHTRA",0,quantity in thousand metric tonnes,
2024-25,March,Bharat Petroleum Corporation Ltd,"BPCL-KOCHI, KERALA",0,quantity in thousand metric tonnes,
2024-25,March,Bharat Petroleum Corporation Ltd,BPCL-BINA,0,quantity in thousand metric tonnes,
2024-25,March,Oil & Natural Gas Corporation Ltd,"ONGC-TATIPAKA,ANDHRA PRADESH",0,quantity in thousand metric tonnes,
2024-25,March,Oil & Natural Gas Corporation Ltd,"MRPL-MANGALORE,KARNATAKA",0,quantity in thousand metric tonnes,
2024-25,March,Hindustan Petroleum Corporation Ltd,"HPCL-VISAKH,ANDHRA PRADESH",0,quantity in thousand metric tonnes,
2024-25,March,Hindustan Petroleum Corporation Ltd,"HMEL-GGSR, BATHINDA, PUNJAB",0,quantity in thousand metric tonnes,
2024-25,March,Reliance Industries Ltd,"RIL,JAMNAGAR,GUJARAT",0,quantity in thousand metric tonnes,
2024-25,March,Reliance Industries Ltd,"RIL-(SEZ), JAMNAGAR,GUJARAT",0,quantity in thousand metric tonnes,
2024-25,March,Indian Oil Corporation Ltd,"IOCL-BONGAIGAON,ASSAM",0,quantity in thousand metric tonnes,
2024-25,March,Hindustan Petroleum Corporation Ltd,"HPCL-MUMBAI,MAHARASHTRA",0,quantity in thousand metric tonnes,
2024-25,March,Indian Oil Corporation Ltd,"IOCL-GUWAHATI,ASSAM",0,quantity in thousand metric tonnes,
2024-25,March,Indian Oil Corporation Ltd,"IOCL-MATHURA, UTTAR PRADESH",0,quantity in thousand metric tonnes,
2024-25,March,Indian Oil Corporation Ltd,"IOCL-HALDIA, WEST BENGAL",0,quantity in thousand metric tonnes,
2024-25,March,Indian Oil Corporation Ltd,"IOCL-KOYALI, GUJARAT",0,quantity in thousand metric tonnes,
2024-25,March,Indian Oil Corporation Ltd,"IOCL-BARAUNI,BIHAR",0,quantity in thousand metric tonnes,
2024-25,March,Indian Oil Corporation Ltd,"IOCL-PANIPAT, HARYANA",0,quantity in thousand metric tonnes,
2024-25,February,Chennai Petroleum Corporation Ltd,"CPCL-NARIMANAM,TAMILNADU",0,quantity in thousand metric tonnes,
2024-25,February,Indian Oil Corporation Ltd,"IOCL-KOYALI, GUJARAT",0,quantity in thousand metric tonnes,
2024-25,February,Indian Oil Corporation Ltd,"IOCL-MATHURA, UTTAR PRADESH",0,quantity in thousand metric tonnes,
2024-25,February,Bharat Petroleum Corporation Ltd,"BPCL-MUMBAI, MAHARASHTRA",0,quantity in thousand metric tonnes,
2024-25,February,Indian Oil Corporation Ltd,"IOCL-PANIPAT, HARYANA",0,quantity in thousand metric tonnes,
2024-25,February,Indian Oil Corporation Ltd,"IOCL-GUWAHATI,ASSAM",0,quantity in thousand metric tonnes,
2024-25,February,Indian Oil Corporation Ltd,"IOCL-DIGBOI,ASSAM",0,quantity in thousand metric tonnes,
2024-25,February,Indian Oil Corporation Ltd,"IOCL-BONGAIGAON,ASSAM",0,quantity in thousand metric tonnes,
2024-25,February,Indian Oil Corporation Ltd,"IOCL-PARADIP,ODISHA",0,quantity in thousand metric tonnes,
2024-25,February,Chennai Petroleum Corporation Ltd,"CPCL-MANALI, TAMILNADU",0,quantity in thousand metric tonnes,
